Ticker,Industry,Company Name
AAL,Aviation,American Airlines Group Inc
ALK,Aviation,Alaska Air Group Inc
HA,Aviation,Hawaiian Holdings Inc
CS,Finance,Credit Suisse
DB,Finance,Deutsche Bank
GS,Finance,Goldman Sachs
JNJ,Healthcare,Johnson & Johnson
MRK,Healthcare,Merck and CO inc.
BHC,Pharmaceuticals,Bausch Health Companies inc
AAPL,Technology,Apple Inc
AMZN,Technology,Amazon
GOOG,Technology,Alphabet
